Expanded Count: 960
Left Bank:  chickens: 24, wolves: 21, boat: 1
Right Bank:  chickens: 75, wolves: 75, boat: 0
Left Bank:  chickens: 23, wolves: 21, boat: 0
Right Bank:  chickens: 76, wolves: 75, boat: 1
Left Bank:  chickens: 24, wolves: 22, boat: 1
Right Bank:  chickens: 75, wolves: 74, boat: 0
Left Bank:  chickens: 23, wolves: 22, boat: 0
Right Bank:  chickens: 76, wolves: 74, boat: 1
Left Bank:  chickens: 25, wolves: 22, boat: 1
Right Bank:  chickens: 74, wolves: 74, boat: 0
Left Bank:  chickens: 24, wolves: 22, boat: 0
Right Bank:  chickens: 75, wolves: 74, boat: 1
Left Bank:  chickens: 25, wolves: 23, boat: 1
Right Bank:  chickens: 74, wolves: 73, boat: 0
Left Bank:  chickens: 24, wolves: 23, boat: 0
Right Bank:  chickens: 75, wolves: 73, boat: 1
Left Bank:  chickens: 26, wolves: 23, boat: 1
Right Bank:  chickens: 73, wolves: 73, boat: 0
Left Bank:  chickens: 25, wolves: 23, boat: 0
Right Bank:  chickens: 74, wolves: 73, boat: 1
Left Bank:  chickens: 26, wolves: 24, boat: 1
Right Bank:  chickens: 73, wolves: 72, boat: 0
Left Bank:  chickens: 25, wolves: 24, boat: 0
Right Bank:  chickens: 74, wolves: 72, boat: 1
Left Bank:  chickens: 27, wolves: 24, boat: 1
Right Bank:  chickens: 72, wolves: 72, boat: 0
Left Bank:  chickens: 26, wolves: 24, boat: 0
Right Bank:  chickens: 73, wolves: 72, boat: 1
Left Bank:  chickens: 27, wolves: 25, boat: 1
Right Bank:  chickens: 72, wolves: 71, boat: 0
Left Bank:  chickens: 26, wolves: 25, boat: 0
Right Bank:  chickens: 73, wolves: 71, boat: 1
Left Bank:  chickens: 28, wolves: 25, boat: 1
Right Bank:  chickens: 71, wolves: 71, boat: 0
Left Bank:  chickens: 27, wolves: 25, boat: 0
Right Bank:  chickens: 72, wolves: 71, boat: 1
Left Bank:  chickens: 28, wolves: 26, boat: 1
Right Bank:  chickens: 71, wolves: 70, boat: 0
Left Bank:  chickens: 27, wolves: 26, boat: 0
